,영업상태,사업장명,도로명주소,전화번호,좌표정보(X),좌표정보(Y)
24,영업중,운동창고,"서울특별시 중랑구 봉화산로56길 153, 대명프라자 4층 408호 (신내동)",2208-5060,208481.612667873    ,455496.980508789    
25,영업중,카인드 라이프 피트니스,"서울특별시 중랑구 면목로 487, 지하2층 B201호 (상봉동)",436-9696,207475.08466296     ,454786.550475968    
26,영업중,운동창고 PT- 면목점,"서울특별시 중랑구 면목로 426, 3층 (면목동)",,207656.760196534    ,454186.054604892    
27,영업중,고구마 휘트니스,"서울특별시 중랑구 상봉로 39, MS빌딩 4층 (면목동)",02-434-9696,208181.799691138    ,454133.031469626    
28,영업중,팀키스 짐,"서울특별시 중랑구 망우로60길 37, 3층 (망우동, 효성 써너스빌 에코)",495-5782,208263.170512627    ,454982.610877472    
29,영업중,시너지 짐,"서울특별시 중랑구 면목로39길 8, 한성빌딩 6층 (면목동)",02-6408-4471,207629.811932774    ,453054.444711078    
30,영업중,J. PT GYM,"서울특별시 중랑구 동일로 833, GM대우 4층 (중화동)",6012-9949,206869.287313739    ,455829.238394798    
31,영업중,바디톡,"서울특별시 중랑구 망우로 328, 시네마시티 2,3층 (상봉동)",02-435-7800,207785.163886948,454948.667169479
32,영업중,피트니스 페이스,"서울특별시 중랑구 동일로 802, 대신빌딩 지하1층 (중화동)",433-9505,206971.003480058    ,455523.908862658    
33,영업중,쉴드짐,"서울특별시 중랑구 봉화산로 61, 정신빌딩 3층 (중화동)",,207110.520133074    ,455500.972162851    
34,영업중,애스톤 네이처 24 hour 휘트니스,"서울특별시 중랑구 동일로 887, 삼삼메디컬빌딩 지하1층 (묵동)",972-9688,206784.137676923    ,456364.6175168      
35,영업중,커브스상봉클럽,"서울특별시 중랑구 망우로 305, 6층 (상봉동)",02-435-8230,207539.91324528     ,454951.719136925    
36,영업중,트루짐,"서울특별시 중랑구 면목로 275-1, 2, 3층 (면목동)",,207497.732897437    ,452801.624163005    
37,영업중,운동자판기 GYM,"서울특별시 중랑구 면목로92길 28, 2층 (상봉동, 리더스)",,207661.305825348    ,454758.290166509    
38,영업중,미라클 헬스,"서울특별시 중랑구 상봉중앙로 41, 2층 (상봉동, 해동 훼미리)",02-434-8166,207629.653104047    ,455392.761633404    
39,영업중,워너비짐,"서울특별시 중랑구 면목로48길 57, 4층 (면목동)",,208043.209229394    ,453318.378360994    
40,영업중,코어스트롱 휘트니스,"서울특별시 중랑구 신내로 193, 엘리어트하우스 지하1층 B01호 (신내동)",,208269.433219878    ,457021.162035231    
41,영업중,바디플레이스,"서울특별시 중랑구 용마산로 384, A동 201(일부),202,301호 (면목동, 이안애)",02-434-1030,208342.686741707    ,453734.914814995    
42,영업중,면목 휘트니스,"서울특별시 중랑구 면목로 398, 8층 (면목동)",02-491-1282,207709.270930577    ,453910.467739777    
43,영업중,쑤핏,"서울특별시 중랑구 신내역로1길 127-12, 2층 (신내동)",02-3422-1811,209517.454768149    ,457295.548272915    
44,영업중,온리엘 PT 스튜디오,"서울특별시 중랑구 망우로 353, C동 209호, 210호 (상봉동, 상봉 프레미어스 엠코)",,207923.745922676    ,455090.718335439    
45,영업중,린 휘트니스,"서울특별시 중랑구 용마산로 426, 광진빌딩 2층 (면목동)",,208508.02689248     ,454127.818163908    
46,영업중,코어스트롱 중랑구청점,"서울특별시 중랑구 봉화산로 218, 지하2층 (신내동)",02-435-0062,208500.41409861     ,456116.213868842    
47,영업중,BOBS GYM(밥스짐),"서울특별시 중랑구 면목로 490, 지하1층 (상봉동, 상봉타워)",,207528.691389558    ,454816.042135953    
48,영업중,온리짐 사가정역점,"서울특별시 중랑구 면목로 310, 지하1층 (면목동)",02-433-4311,207702.839931452    ,453039.34552948     
49,영업중,리얼타임 피트니스,"서울특별시 중랑구 용마산로 448, 까치유치원 2,3층 (망우동)",,208591.021424155    ,454321.403758328    
50,영업중,스트롱라인 면목점,"서울특별시 중랑구 상봉로 81, 청풍빌딩 2층 (면목동)",,208149.592116902    ,454546.85561825     
51,영업중,크로스핏 파무짐,"서울특별시 중랑구 중랑천로 332, 상가동 1, 지하1층 101, B01호 (묵동, 묵동한국아파트)",02-972-9108,206419.157895196    ,456891.546353752    
52,영업중,토니바디PT,"서울특별시 중랑구 동일로92길 25, 지하1층 (면목동)",02-6462-2223,207118.991322143    ,453475.991926721    
53,영업중,더바른핏,"서울특별시 중랑구 동일로92길 57, 메디포레 2층 (면목동)",070-7818-3060,207278.258826248    ,453470.751633822    
54,영업중,BODY EFFECT,"서울특별시 중랑구 동일로 822, 3층 (중화동)",,206936.994670004    ,455739.139606995    
55,영업중,HELIO GYM,"서울특별시 중랑구 망우로 316, 이지팰리스 4층 402호 (상봉동)",,207660.883688474,454911.110252938
56,영업중,에이블짐 상봉역점,"서울특별시 중랑구 면목로 491, 주함해븐타워 지하2층 (상봉동)",,207465.591403699    ,454835.320410757    
57,영업중,짐프릭 면목점,"서울특별시 중랑구 동일로 608, 6층 (면목동)",02-432-9679,207008.826567294    ,453594.509785172    
58,영업중,엠크루짐,"서울특별시 중랑구 공릉로 8, 지하1층 (묵동, 대길빌딩)",02-978-9688,206818.694000841    ,456585.021076434    
59,영업중,닥터바디짐,"서울특별시 중랑구 면목로 353, 경희솔한의원 3층 (면목동)",070-7783-8119,207719.910252035    ,453466.416715663    
60,영업중,프리빗 PT 스튜디오,"서울특별시 중랑구 망우로 192, 2층 (상봉동)",02-491-7877,206474.047423329,454540.70965568
61,영업중,토니바디PT 용마점,"서울특별시 중랑구 면목로 266-1, 2층 (면목동)",,207531.595764181,452686.03469285
62,영업중,J-PT,"서울특별시 중랑구 공릉로 18, 3층 (묵동)",,206823.165967179,456686.933363648
63,영업중,콤마짐,"서울특별시 중랑구 양원역로10길 3, 제이타워 7층 (망우동)",,,
64,영업중,퍼플피플,"서울특별시 중랑구 중랑역로 62, 5층 (중화동)",,206835.975750296,455179.544341175
65,영업중,코어핏 PT&필라테스,"서울특별시 중랑구 봉우재로33길 65, 4층 (상봉동)",,207777.346961819,454772.991087916
66,영업중,뉴페이스짐,"서울특별시 중랑구 면목로 469, 2층 (상봉동, 대성타워)",,207522.003991159,454614.703800827
